category,date,year,week,id_project,project_name,start_price,end_price,performance
4Chan,2024-01-06,2024,1,12260,Gains Network,4.74,5.08,0.07172995780590714
4Chan,2024-01-06,2024,1,998,Dogecoin,0.090406,0.080938,-0.1047275623299339
4Chan,2024-01-06,2024,1,22503,Myria,0.00969849,0.00885143,-0.0873393693245031
4Chan,2024-01-06,2024,1,12264,Ethereum Name Service,9.97,13.21,0.324974924774323
4Chan,2024-01-06,2024,1,12265,Merit Circle,1.73,1.85,0.06936416184971105
4Chan,2024-01-06,2024,1,18408,Kaspa,0.11756,0.107239,-0.08779346716570259
4Chan,2024-01-06,2024,1,19433,D3D Social,0.136961,0.12701,-0.07265571951139367
4Chan,2024-01-06,2024,1,10735,GMX,57.02,51.28,-0.1006664328305858
4Chan,2024-01-06,2024,1,22513,Tectum,21.11,34.66,0.6418758882046423
4Chan,2024-01-06,2024,1,22511,Polygon Ecosystem Token,0.955494,0.828278,-0.13314160005191034
4Chan,2024-01-06,2024,1,12280,Solarbeam,0.050639,0.0420271,-0.17006457473488823
4Chan,2024-01-06,2024,1,1018,FTX Token,3.4,2.74,-0.19411764705882345
4Chan,2024-01-06,2024,1,22525,Myro,0.0192985,0.07244,2.7536596108505846
4Chan,2024-01-13,2024,2,18950,Dejitaru Shirudo,0.00064839,0.00102736,0.5844784774595536
4Chan,2024-01-20,2024,3,18950,Dejitaru Shirudo,0.00102736,0.000987,-0.039285158075066114
4Chan,2024-01-13,2024,2,7176,DAO Maker,1.11,1.13,0.018018018018017834
4Chan,2024-01-20,2024,3,7176,DAO Maker,1.13,1.072,-0.05132743362831844
4Chan,2024-01-13,2024,2,1036,Polygon,0.828885,0.884572,0.06718302297664941
4Chan,2024-01-20,2024,3,1036,Polygon,0.884572,0.778208,-0.12024346237502431
4Chan,2024-01-14,2024,3,23055,Beam Bridged AVAX (Beam),35.8,36.48,0.018994413407821223
4Chan,2024-01-13,2024,2,1040,Quant,119.41,120.31,0.0075370571978896714
4Chan,2024-01-20,2024,3,1040,Quant,120.31,115.09,-0.043387914554068645
4Chan,2024-01-13,2024,2,22543,Toshi,9.445e-05,0.00013362,0.41471678136580203
4Chan,2024-01-20,2024,3,22543,Toshi,0.00013362,0.00016403,0.22758569076485555
4Chan,2024-01-13,2024,2,21525,AllianceBlock Nexera,0.139903,0.144183,0.03059262489010247
4Chan,2024-01-20,2024,3,21525,AllianceBlock Nexera,0.144183,0.126405,-0.12330163750234088
4Chan,2024-01-13,2024,2,19482,The Big Five,0.00071124,0.00083187,0.16960519655812373
4Chan,2024-01-20,2024,3,19482,The Big Five,0.00083187,0.00056005,-0.3267577866733985
4Chan,2024-01-14,2024,3,22044,Internet Money (BSC),6.776e-09,6.776e-09,0.0
4Chan,2024-01-13,2024,2,22559,Turbo,0.00039715,0.00033781,-0.14941457887448056
4Chan,2024-01-20,2024,3,22559,Turbo,0.00033781,0.00030703,-0.09111630798377786
4Chan,2024-01-13,2024,2,13346,Spool DAO Token,0.290819,0.286431,-0.015088422695903648
4Chan,2024-01-20,2024,3,13346,Spool DAO Token,0.286431,0.286839,0.001424426825308781
4Chan,2024-01-13,2024,2,1062,Fantom,0.399713,0.397402,-0.005781648332678716
4Chan,2024-01-20,2024,3,1062,Fantom,0.397402,0.369883,-0.06924726095993468
4Chan,2024-01-13,2024,2,16935,CatCoin Cash,7.7574e-11,7.1218e-11,-0.08193466883234084
4Chan,2024-01-20,2024,3,16935,CatCoin Cash,7.1218e-11,4.4313e-11,-0.37778370636636804
4Chan,2024-01-13,2024,2,22569,Datamall Coin,0.103911,0.075108,-0.27718913300805503
4Chan,2024-01-20,2024,3,22569,Datamall Coin,0.075108,0.073832,-0.016988869361452833
4Chan,2024-01-13,2024,2,16940,Taki,0.023013,0.0217685,-0.05407812975274841
4Chan,2024-01-20,2024,3,16940,Taki,0.0217685,0.0171818,-0.210703539518111
4Chan,2024-01-13,2024,2,1069,Hedera Hashgraph,0.079579,0.080322,0.009336634036617796
4Chan,2024-01-20,2024,3,1069,Hedera Hashgraph,0.080322,0.076004,-0.05375862154826825
4Chan,2024-01-13,2024,2,16945,ApeX,1.28,2.07,0.6171874999999999
4Chan,2024-01-20,2024,3,16945,ApeX,2.07,2.48,0.19806763285024162
4Chan,2024-01-13,2024,2,3127,Everipedia,0.00541911,0.00527086,-0.027356890707145785
4Chan,2024-01-20,2024,3,3127,Everipedia,0.00527086,0.00518128,-0.016995329035489407
4Chan,2024-01-13,2024,2,22586,Openfabric AI,0.162145,0.146378,-0.09724012457985139
4Chan,2024-01-20,2024,3,22586,Openfabric AI,0.146378,0.162845,0.11249641339545546
4Chan,2024-01-13,2024,2,22587,Comsats,0.0327468,0.0256584,-0.21646084502913257
4Chan,2024-01-20,2024,3,22587,Comsats,0.0256584,0.0170994,-0.3335749696005986
4Chan,2024-01-13,2024,2,22589,SophiaVerse,0.077629,0.074803,-0.03640392121500997
4Chan,2024-01-20,2024,3,22589,SophiaVerse,0.074803,0.066309,-0.11355159552424353
4Chan,2024-01-13,2024,2,24643,Coq Inu,1.38e-06,1.5e-06,0.08695652173913053
4Chan,2024-01-20,2024,3,24643,Coq Inu,1.5e-06,1.1e-06,-0.26666666666666666
4Chan,2024-01-13,2024,2,22599,MEME (Ordinals),33.95,40.8,0.20176730486008818
4Chan,2024-01-20,2024,3,22599,MEME (Ordinals),40.8,29.07,-0.2874999999999999
4Chan,2024-01-13,2024,2,22600,Pika Protocol,0.364937,0.416741,0.14195326864636898
4Chan,2024-01-20,2024,3,22600,Pika Protocol,0.416741,0.402013,-0.03534089518429904
4Chan,2024-01-13,2024,2,22602,f(x) Protocol,78.42,96.02,0.22443254271869414
4Chan,2024-01-20,2024,3,22602,f(x) Protocol,96.02,79.71,-0.16986044574047077
4Chan,2024-01-13,2024,2,16458,Paragen,0.0298962,0.0279803,-0.0640850676674628
4Chan,2024-01-20,2024,3,16458,Paragen,0.0279803,0.020281,-0.27516860076553856
4Chan,2024-01-13,2024,2,21068,Cheelee,15.1,16.13,0.06821192052980128
4Chan,2024-01-20,2024,3,21068,Cheelee,16.13,15.63,-0.030998140111593197
4Chan,2024-01-13,2024,2,15951,BitTorrent,1.07e-06,1.08e-06,0.009345794392523473
4Chan,2024-01-20,2024,3,15951,BitTorrent,1.08e-06,9.73958e-07,-0.09818703703703704
4Chan,2024-01-13,2024,2,4688,Polkadot,7.17,7.65,0.06694560669456073
4Chan,2024-01-20,2024,3,4688,Polkadot,7.65,6.87,-0.10196078431372552
4Chan,2024-01-13,2024,2,20049,Concentrator,1.075,1.24,0.1534883720930233
4Chan,2024-01-20,2024,3,20049,Concentrator,1.24,1.23,-0.008064516129032265
4Chan,2024-01-13,2024,2,24663,Rocky the dog,0.0038427,0.0245279,5.3829859213573785
4Chan,2024-01-20,2024,3,24663,Rocky the dog,0.0245279,0.00863934,-0.6477749827747177
4Chan,2024-01-13,2024,2,22628,Champignons of Arborethia,0.00259141,0.00332804,0.28425837671383525
4Chan,2024-01-20,2024,3,22628,Champignons of Arborethia,0.00332804,0.00304102,-0.08624295381065125
4Chan,2024-01-13,2024,2,10341,CropperFinance,0.00810193,0.00780618,-0.036503647896242004
4Chan,2024-01-20,2024,3,10341,CropperFinance,0.00780618,0.00461154,-0.40924498282130317
