platform,date,year,week,id_project,project_name,start_price,end_price,performance
polygon-ecosystem,2023-06-17,2023,24,659,ChainLink,5.22,5.29,0.0134099616858238
polygon-ecosystem,2023-06-17,2023,24,1036,Polygon,0.599151,0.616892,0.0296102318113464
polygon-ecosystem,2023-06-17,2023,24,6569,The Graph,0.101263,0.102135,0.008611240038316
polygon-ecosystem,2023-06-17,2023,24,3720,Rocket Pool,44.11,41.03,-0.0698254364089775
polygon-ecosystem,2023-06-17,2023,24,5613,Aave,52.54,51.24,-0.0247430529120669
polygon-ecosystem,2023-06-17,2023,24,4708,SAND,0.387353,0.391992,0.0119761561159975
polygon-ecosystem,2023-06-17,2023,24,6723,Lido DAO,1.81,1.79,-0.011049723756906
polygon-ecosystem,2023-06-24,2023,25,376,Bitcoin,26522.0,30567.0,0.1525148932961315
polygon-ecosystem,2023-06-24,2023,25,345,Binance Coin,245.14,235.56,-0.0390797095537243
polygon-ecosystem,2023-06-24,2023,25,5395,Uniswap,4.53,4.72,0.041942604856512
polygon-ecosystem,2023-06-24,2023,25,659,ChainLink,5.29,6.07,0.1474480151228734
polygon-ecosystem,2023-06-24,2023,25,1036,Polygon,0.616892,0.657716,0.0661768996842234
polygon-ecosystem,2023-06-24,2023,25,6569,The Graph,0.102135,0.109825,0.0752925050178685
polygon-ecosystem,2023-06-24,2023,25,5613,Aave,51.24,56.91,0.1106557377049179
polygon-ecosystem,2023-06-24,2023,25,6723,Lido DAO,1.79,1.83,0.0223463687150838
polygon-ecosystem,2023-06-24,2023,25,3720,Rocket Pool,41.03,38.02,-0.0733609553984888
polygon-ecosystem,2023-06-24,2023,25,4696,Curve DAO Token,0.620809,0.666077,0.0729177573134409
polygon-ecosystem,2023-07-01,2023,26,376,Bitcoin,30567.0,30593.0,0.0008505905061013
polygon-ecosystem,2023-07-01,2023,26,345,Binance Coin,235.56,246.91,0.0481830531499405
polygon-ecosystem,2023-07-01,2023,26,659,ChainLink,6.07,6.46,0.0642504118616144
polygon-ecosystem,2023-07-01,2023,26,5395,Uniswap,4.72,5.55,0.1758474576271186
polygon-ecosystem,2023-07-01,2023,26,1036,Polygon,0.657716,0.670729,0.0197851352255381
polygon-ecosystem,2023-07-01,2023,26,6569,The Graph,0.109825,0.10454,-0.0481220122922832
polygon-ecosystem,2023-07-01,2023,26,5613,Aave,56.91,67.88,0.1927604990335617
polygon-ecosystem,2023-07-01,2023,26,6723,Lido DAO,1.83,2.12,0.1584699453551912
polygon-ecosystem,2023-07-01,2023,26,4696,Curve DAO Token,0.666077,0.772949,0.1604499179524288
polygon-ecosystem,2023-07-01,2023,26,907,Decentraland,0.404856,0.406058,0.0029689568636749
polygon-ecosystem,2023-07-08,2023,27,376,Bitcoin,30593.0,30134.0,-0.0150034321576831
polygon-ecosystem,2023-07-08,2023,27,345,Binance Coin,246.91,235.02,-0.0481551982503745
polygon-ecosystem,2023-07-08,2023,27,5395,Uniswap,5.55,5.2,-0.063063063063063
polygon-ecosystem,2023-07-08,2023,27,659,ChainLink,6.46,6.12,-0.0526315789473684
polygon-ecosystem,2023-07-08,2023,27,1036,Polygon,0.670729,0.673483,0.0041059802095928
